ClinicalDiagnosis	DiagnosisType	TreatmentType	NumberOfRespondersToTreatment
ACL_Injury	Acute_Injury	1	110
Dislocation	Acute_Injury	1	37
Lateral_Meniscus	Acute_Injury	1	49
LCL_Injury	Acute_Injury	1	10
MCL_Injury	Acute_Injury	1	56
Medial_Meniscus	Acute_Injury	1	147
PCL_Injury	Acute_Injury	1	6
Tendon_Tear	Acute_Injury	1	25
Osteoarthritis	Arthritis	1	442
Rheumatoid_Arthritis	Arthritis	1	25
A_Bursitis	Bursitis	1	18
I_Bursitis	Bursitis	1	14
P_Bursitis	Bursitis	1	33
Plica_Syndrome	Other	1	24
Chondromalacia	Overuse	1	290
IBS	Overuse	1	173
Bakers_Cyst	Other	1	28
Other	Other	1	102
ACL_Injury	Acute_Injury	2	18
Dislocation	Acute_Injury	2	8
Lateral_Meniscus	Acute_Injury	2	10
LCL_Injury	Acute_Injury	2	6
MCL_Injury	Acute_Injury	2	22
Medial_Meniscus	Acute_Injury	2	35
PCL_Injury	Acute_Injury	2	4
Tendon_Tear	Acute_Injury	2	7
Osteoarthritis	Arthritis	2	290
Rheumatoid_Arthritis	Arthritis	2	19
A_Bursitis	Bursitis	2	3
I_Bursitis	Bursitis	2	1
P_Bursitis	Bursitis	2	17
Plica_Syndrome	Other	2	9
Chondromalacia	Overuse	2	90
IBS	Overuse	2	29
Bakers_Cyst	Other	2	15
Other	Other	2	57
